date,stock_name,stock_code,end_date,br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1,gap_change,mean_vlome,today_vlome,vlome_change,slope,day_change,deter_change
2019-11-15,유라테크,048430,20191115,5300,5440,6580,11790,5893,12481,9731,15036,8137,10888,9400,6723,17971,1954861,5120,5150,5230,5230,5210,5260,5270,5230,5250,5170,0.0264150943396226,9665.9,1954861,201.24303996523864,0.0297833935018048,1140,1
2019-11-15,보락,002760,20191115,2075,2230,2425,663328,403797,357908,479435,225253,658677,366819,446949,1219474,703223,13607895,2040,2070,2060,2075,2070,2080,2070,2020,2060,2045,0.0746987951807229,482406.5,13607895,27.2083574744536,-0.0366242038216535,195,1
2019-11-18,이글벳,044960,20191118,7420,7680,8900,765641,633696,443849,404448,526684,546081,329616,5790231,13416556,1907830,22804695,6900,6890,6860,6900,6900,6700,6660,6760,7730,7320,0.0350404312668464,2286570.2,22804695,8.973319428373552,0.0043562848925732,1220,1
2019-11-18,유엔젤,072130,20191118,5520,5690,6250,38902,32278,39316,654304,1455215,6824041,2092906,3952128,2137582,1214051,2833432,3830,3800,3840,3865,4110,4870,5310,5550,5500,5520,0.0307971014492753,1723292.2,2833432,0.6441970781275514,0.0035606807535835,560,1
2019-11-18,두산퓨얼셀,336260,20191118,8840,9170,9700,2320413,2385962,2885140,1325422,988867,1083346,1688553,3471460,3013793,35194759,10168101,7640,7360,7250,7280,7220,7080,7190,7610,7820,8060,0.0373303167420815,1917265.6,10168101,4.303438918426325,0.0046348981869206,530,1
2019-11-18,흥아해운,003280,20191118,669,725,869,399960,276502,784748,9503443,19753402,8033904,3248857,19662235,5169412,51187999,63858184,350,364,372,412,493,476,486,491,481,546,0.0837070254110612,6683333.2,63858184,8.55484068937338,0.0417459506551263,144,1
2019-11-19,이구산업,025820,20191119,1615,1620,1735,39318,156868,55294,98694,96989,44814,246335,85560,119236,95790,852899,1575,1595,1610,1610,1585,1580,1585,1620,1595,1600,0.0030959752321981,94484.3,852899,8.026885948247486,0.0507152145643706,115,1
2019-11-19,큐로컴,040350,20191119,1550,1685,1915,276209,471001,237318,266426,187392,215662,403049,423165,439300,10162120,32256168,1155,1175,1165,1155,1140,1140,1130,1145,1160,1200,0.0870967741935484,292143.7,32256168,109.41199245439827,0.0168804861580028,230,1
2019-11-19,유니맥스글로벌,215090,20191119,1710,1850,2030,512852,559914,468748,668601,417568,1894756,669612,594482,262347,472669,3701369,1595,1595,1675,1765,1730,1765,1825,1700,1720,1710,0.0818713450292398,605091.0,3701369,5.117045204770853,0.023679225426226,180,1
2019-11-20,나노스,151910,20191120,5450,6350,6630,198368,135850,135555,99818,78561,610212,478679,1688201,1545369,1331557,2283106,4305,4400,4365,4290,4300,4265,4925,4970,5330,5410,0.1651376146788989,497724.3,2283106,3.587089679969413,0.0056759573359422,280,1
2019-11-20,금호에이치티,214330,20191120,6290,6830,8170,87882,68441,81016,165849,311006,224847,190917,91711,120399,2442533,8008459,5290,5250,5210,5340,5420,5700,5610,5760,5740,5810,0.0858505564387916,135023.8,8008459,58.31146212741754,0.0120851115470965,1340,1
2019-11-20,오성첨단소재,052420,20191120,2810,2840,3505,10175658,9344468,3269380,2507769,47751702,7086752,5339063,8425106,7573354,10934553,90517033,2660,2670,2645,2550,2610,2670,2645,2690,2670,2760,0.0106761565836299,10147675.7,90517033,7.919976916487389,0.0280963302752299,665,1
2019-11-20,나노스,151910,20191120,5450,6350,6630,198368,135850,135555,99818,78561,610212,478679,1688201,1545369,1331557,2283106,4305,4400,4365,4290,4300,4265,4925,4970,5330,5410,0.1651376146788989,497724.3,2283106,3.587089679969413,0.0056759573359422,280,1
2019-11-21,성안,011300,20191121,487,513,633,172550,95329,105489,33768,397392,277480,61953,213801,13678859,21514543,27178286,421,427,424,419,427,434,434,425,419,479,0.0533880903490759,1503725.4,27178286,17.073968824361152,0.0925041564965159,120,1
2019-11-21,진양제약,007370,20191121,3930,4285,5090,47135,39400,14497,44518,22835,62178,39738,74611,125496,166053,12731213,3825,3800,3740,3745,3740,3810,3810,3765,3645,3690,0.0903307888040712,47549.8,12731213,266.7448275281915,-0.0319291206954196,805,1
2019-11-21,큐로홀딩스,051780,20191121,654,679,768,80943,101583,44198,108974,99206,115996,106975,15020786,23384095,23644579,19945302,506,510,504,511,510,516,515,516,645,615,0.0382262996941895,3906352.4,19945302,4.105863464852787,0.0430975156561833,89,1
2019-11-21,에스코넥,096630,20191121,1940,1990,2145,794817,1732791,827882,1492307,21953645,4084535,1750134,3248888,5722624,3924537,13408527,1635,1650,1575,1590,1675,1820,1825,1845,1880,1905,0.0257731958762885,4160976.8,13408527,2.222446950437215,0.0215842269111034,155,1
2019-11-22,하이로닉,149980,20191122,5440,5980,6120,25234,53429,20302,36753,41191,42477,586464,491047,216465,763433,1661182,4900,4810,4870,4815,4760,4745,4850,5100,5150,5070,0.099264705882353,151948.2,1661182,9.932554646912566,0.0133240194556557,140,1
2019-11-22,파버나인,177830,20191122,5600,5750,6090,300280,740797,296868,322611,216219,2236496,666913,6070717,3548194,3730725,2669379,4290,4430,4395,4290,4180,4240,4350,4345,5390,5450,0.0267857142857141,1440518.5,2669379,0.8530681834353395,0.0042825964270909,340,1
2019-11-25,장원테크,174880,20191125,3175,3305,3540,329537,4367721,751521,12004267,18459005,5030240,53515805,30493611,11084020,4202537,10460166,2390,2465,2430,2425,2625,2785,3000,3170,3320,3090,0.0409448818897637,13603926.7,10460166,-0.231092152238662,0.0080415804158041,235,1
