br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1
1940,1990,2145,794817,1732791,827882,1492307,21953645,4084535,1750134,3248888,5722624,3924537,13408527,1635,1650,1575,1590,1675,1820,1825,1845,1880,1905
5440,5980,6120,25234,53429,20302,36753,41191,42477,586464,491047,216465,763433,1661182,4900,4810,4870,4815,4760,4745,4850,5100,5150,5070
5600,5750,6090,300280,740797,296868,322611,216219,2236496,666913,6070717,3548194,3730725,2669379,4290,4430,4395,4290,4180,4240,4350,4345,5390,5450
3175,3305,3540,329537,4367721,751521,12004267,18459005,5030240,53515805,30493611,11084020,4202537,10460166,2390,2465,2430,2425,2625,2785,3000,3170,3320,3090
3630,3855,3865,49764,373276,84297,119868,82326,42960,76348,109668,166307,138132,195927,3955,4005,4050,3970,3970,3980,3940,3840,3665,3600
1740,1785,2260,203767,165645,225435,128619,125449,163127,218120,336689,255147,429960,45109959,1770,1765,1775,1800,1780,1780,1780,1715,1695,1710
14300,14600,16450,4566836,2260593,603103,769588,410980,2392826,695301,1055606,633643,544451,2755124,12100,12400,12800,12750,12650,12800,13100,13700,13550,13900
10250,10450,11300,5656398,767780,827762,235919,367783,2945911,548477,597187,1784052,567834,1554619,9760,9490,9460,9340,9390,9540,9710,9630,9950,10200
2345,2460,2510,3956278,2286618,1690261,10839290,4310433,1711538,2338188,1540977,707329,3528777,8113750,2250,2250,2160,2200,2285,2265,2185,2170,2115,2180
1540,1690,1775,112809,247106,1032103,295190,249735,119287,1264919,1524747,419474,1387077,4345508,1035,1030,1080,1135,1120,1160,1170,1270,1330,1290
2860,3000,3580,129808,185073,165644,88558,134449,356383,280722,179816,157076,17816322,37193689,2360,2355,2350,2350,2320,2195,2110,2110,2185,2235
5190,5270,6740,817158,182217,89318,147942,100259,136230,94576,3535728,1649098,728321,16750622,4915,5000,5010,5010,4935,4775,4665,4675,5230,5090
1585,1620,2020,247106,1032103,295190,249735,119287,1264919,1524747,419474,1387077,4345508,8011292,1030,1080,1135,1120,1160,1170,1270,1330,1290,1525
2180,2220,2340,128619,125449,163127,218120,336689,255147,429960,45109959,28618949,18810550,12784889,1800,1780,1780,1780,1715,1695,1710,1775,2160,2085
6910,7140,7510,321831,207425,86108,114324,164307,173128,80202,58895,52994,667888,1482129,6980,6860,6900,6710,6200,6200,6250,6350,6500,6530
21750,23000,24700,3794,9547,12843,3137,11306,10430,198121,65527,1106296,1264361,1078006,14800,14850,14700,14750,14700,14550,14650,15050,15300,15950
11000,11600,14200,4477,63470,11997,17025,18839,6321,27154,7366,3340,426861,2753076,8550,8410,8430,8290,8100,8030,7950,8320,8390,8400
3090,3270,3870,1085139,2981557,690684,708503,498703,306443,206483,157938,7897085,5073959,19161786,2845,2555,2600,2550,2485,2510,2535,2555,2600,3025
5930,6070,7290,1214051,2833432,6513859,628063,595747,693949,1863370,1125179,643389,2631943,20826478,5520,5610,5750,6000,6110,5920,5380,5510,5540,5600
4500,4630,4940,29205,14248,15573,29635,16223,114315,32679,30707,33608,43036,331967,4310,4365,4305,4220,4230,4285,4430,4430,4390,4430
2300,2350,2870,860871,811783,1094891,647022,3651116,25210528,37793970,8330502,6280751,47535056,42622664,1850,1885,1835,1805,1810,1960,2245,2320,2340,2230
3260,3460,4080,27527,75371,59889,87564,27789,27500,31091,19439,23691,119391,6822530,3260,3160,3115,3015,3025,3065,3075,3080,3065,3085
64800,73100,77200,220209,555292,235170,240852,841105,293270,294613,203747,374855,177479,5636951,47850,43200,43100,42000,43650,48500,46800,47100,46350,64800
1180,1245,1475,86581,230284,223502,118630,72400,141640,161062,96771,84015,139709,39040517,1175,1145,1105,1125,1145,1165,1175,1165,1150,1170
11900,12450,13900,11997,17025,18839,6321,27154,7366,3340,426861,2753076,3414474,2288343,8430,8290,8100,8030,7950,8320,8390,8400,10900,11200
3055,3120,3350,2418714,2591612,2115572,3744298,1610164,1570933,16977061,5113691,3080782,2382602,21591453,2895,2750,2750,2880,2910,2950,2995,3055,3110,3045
3815,3900,4130,255475,209992,123268,145853,256210,111787,319721,17095455,2719096,2665597,4994929,3435,3340,3345,3400,3460,3455,3380,3640,3720,3765
10450,11200,11550,74191,60961,64002,79907,73283,46598,75847,8103026,7054231,3093776,5555734,7920,7730,7700,7980,8060,7990,7910,9330,9740,10100
1165,1200,1310,1317445,1321932,3719230,2922302,1673329,4161788,2979332,4465628,33710087,59420367,53932747,908,912,950,972,963,952,961,997,1020,1050
1590,1655,1710,2666933,26019737,7171831,3436410,5143941,2778010,5339730,4822723,16503929,3465653,11180278,1455,1500,1515,1535,1550,1535,1530,1550,1580,1555
3505,3740,4090,304282,171452,147205,1327264,159874,178411,195508,155891,92475,227629,2973439,3575,3620,3585,3635,3715,3615,3520,3555,3615,3470
3960,4090,4295,121276,162283,101850,160593,118611,116232,46472,404674,529391,103382,1416022,3685,3640,3670,3810,3890,3945,3900,3950,3960,3930
679,700,725,16386258,13717346,8571294,7753465,9495655,3021513,2926681,81846002,53485997,18970677,10542985,666,684,651,621,615,597,573,589,641,651
15150,15500,16250,93452,58032,174997,3138862,435397,216139,258987,321588,96014,110033,299550,14000,14150,14350,15650,15200,15200,14600,15300,15100,15000
1300,1495,1690,265036,496391,982246,866723,1637400,1885911,920790,681409,655303,24072441,24364224,1250,1165,1135,1125,1055,1000,999,1000,997,910
3895,4130,4430,27789,27500,31091,19439,23691,119391,6822530,519697,9048262,1619036,4656238,3025,3065,3075,3080,3065,3085,3455,3345,3360,3720
1990,2055,2390,912355,954397,1383839,421600,693349,786615,682827,502470,959980,4748309,33797717,2025,2040,2045,2055,1995,1935,1920,1900,1860,1900
6750,7210,7490,394686,648425,367543,8859892,1892851,2946226,792856,1060539,4131165,9747621,5952706,5860,5950,5910,5910,5910,6000,6020,6050,6110,6160
13900,14300,14750,21886,46561,9602,14958,12520,14520,12440,22277,30836,18902,89833,14000,13800,13800,13850,13850,13600,13800,13600,13900,13900
