stock_code,bf_price,tr_price,D-5,D-4,D-3,D-2,D-1,D-day
250000,14000,14200,18915,80484,40884,43393,69248,679008
052300,1690,1740,1449953,6848179,2130749,16576575,3950592,12967766
105840,9320,9760,1875582,862447,949565,683720,1225294,13289510
009190,5480,5510,618678,495556,405620,841822,629882,910350
045300,5145,5413,101693,78492,123685,63724,150522,500017
130500,5160,5300,85934,95451,83751,110896,100637,7372277
033320,6350,6640,167283,140098,128449,87307,75428,2430158
027710,2685,2765,7420630,5535218,14169936,20598125,8754345,28988304
307750,12450,12750,2316389,1420037,1561377,1104043,1193292,2632582
004870,1105,1180,225534,153598,207520,209661,489765,695149
241560,40850,42400,431040,401974,214317,178433,255156,1316575
041510,79400,80900,413169,463796,690648,389354,730662,740019
220100,13755,14305,130436,1680622,588848,352616,415969,1457438
066410,5550,5750,7925341,8132806,6051120,4904676,16079530,83934395
222980,6820,7220,50770,125183,150549,67317,59122,900990
011700,4585,4995,7036400,72419591,21861339,5711436,8101801,17412836
017000,13900,14550,373975,1857440,4128217,9380326,3315699,2558887
076080,4740,4790,730902,741647,567217,1442302,736954,5814789
033540,2635,2750,256968,237750,376450,327401,570688,746759
138580,17076,17858,846719,359042,248657,237744,2980617,6983556
033540,2690,2705,237750,376450,327401,570688,746759,481910
182360,24250,25200,633148,1266795,633079,1910700,641635,979207
073490,36250,38150,17094,17503,18395,23730,16998,149272
053050,2770,2890,3511446,1242221,3390264,2433215,1767239,3982887
128540,6142,6400,3088666,14374158,4118633,1782597,1187938,9459480
019180,4235,4510,410593,538827,567650,12892006,1123411,5416777
299900,41550,42150,5116946,3048182,2765647,5269252,2425117,6640813
225570,17300,17700,2175636,3062797,1551845,1031526,868245,4065694
011700,4500,4755,17412836,5733948,8833495,2991922,3010873,13145859
024810,1431,1549,1000101,892562,560462,612592,316731,17603914
225570,17300,17700,2175636,3062797,1551845,1031526,868245,4065694
225570,17300,17700,2175636,3062797,1551845,1031526,868245,4065694
064260,9320,9600,18579462,29331267,11144327,7693459,15249501,60429831
225570,17300,17700,2175636,3062797,1551845,1031526,868245,4065694
225570,18000,18900,3062797,1551845,1031526,868245,4065694,11011785
225570,18000,18900,3062797,1551845,1031526,868245,4065694,11011785
225570,18000,18900,3062797,1551845,1031526,868245,4065694,11011785
225570,18000,18900,3062797,1551845,1031526,868245,4065694,11011785
009620,1715,1750,1408419,2886302,1077219,813696,765653,3165512
057680,3425,3450,1048009,1470371,665991,982429,556347,30290466
177830,4480,4715,60367,75856,95657,49346,102874,2533709
310200,4350,4450,868119,557885,908877,811679,1050658,2913234
065440,2210,2385,279728,268688,228774,384911,674586,2642907
226330,10300,10800,43286,57534,47581,54909,80821,644910
197140,9620,10000,1188898,242289,626497,294395,318337,457703
101730,37400,39000,711598,3366029,1250437,1108981,0,2694057
322780,3350,3475,179788,128498,361648,1053098,315751,3716053
273640,19326,19626,159906,109302,83373,1338635,238502,1911688
008700,2440,2475,487977,1030541,306643,2291891,2343009,12074978
139670,20400,20700,159213,225968,2072236,5136192,828433,4847435
038880,1155,1155,1348291,1825029,21664180,47305765,10802293,17382829
086060,5170,5280,23133,74098,44918,51139,91752,4653164
118990,10334,11090,149762,120497,10660527,2315965,2643020,5292033
050890,6730,7060,325439,501797,734570,1286515,339832,6603524
060570,5100,5310,263569,98476,282371,72340,67324,643833
009070,6000,6140,118473,104432,120129,85728,103875,853319
033310,10750,11000,313906,287057,196409,499970,200835,668631
009810,2825,2840,3838255,4226681,2068364,2244487,4333491,4379151
102460,40800,42100,177014,134694,101439,99999,90496,889713
139670,20650,21950,5136192,828433,4847435,857847,750142,3209646
034020,22248,19593,7488441,6692288,6250045,5193571,6270266,21345904
139670,21300,19950,828433,4847435,857847,750142,3209646,896715
269620,1130,1205,3832266,2642100,11778216,12274685,8894460,21157375
245620,3460,3610,349817,257307,490617,296387,1129051,7229620
096240,34050,35450,65589,116856,123918,118211,125462,513563
009810,2865,2900,2068364,2244487,4333491,4379151,2014245,2814434
095500,4590,4790,4445067,948708,6394701,1130615,769722,11019967
053030,15550,15900,178383,180277,455082,704972,684261,1664903
005320,2320,2390,489821,242471,614222,500421,723655,4463117
025880,2475,2555,267244,119157,147280,210397,199403,4218188
053030,15650,15800,180277,455082,704972,684261,1664903,459249
038460,5070,5540,116292,98434,676853,674289,300455,7720366
106240,4615,4786,3450496,3633767,3822071,2492946,2477168,3575240
060570,5920,6240,238477,179202,717098,1273528,1145874,3039909
019770,5450,5800,83576,176227,125206,117586,47484,2236130
215090,1940,2020,914507,784072,483308,858768,2509100,1876380
190510,10300,10800,199594,243920,250887,596555,238641,3244248
054210,11850,12500,662137,482770,312441,220088,188353,760256
094360,20550,20950,556382,1789226,1016042,2165599,1579016,12654229
105550,4175,4225,372122,256180,165954,223148,287450,3957918
015890,7000,7200,257440,152739,212161,461542,337974,4145896
105550,4375,4385,256180,165954,223148,287450,3957918,918322
348030,21150,21550,49347,145968,55177,48795,41353,840808
058110,13550,14350,496577,3449559,2162972,12733695,3211992,8601469
131370,9080,9230,13332266,3955037,1708118,9487847,2733702,26647419
136510,19500,20350,26489418,7944897,3972005,7293633,3486236,3428241
032280,2855,2960,2215760,1106134,2033388,13710233,3580836,4757933
091120,23534,23777,43232,206620,161114,120957,105713,541230
091120,23534,23777,43232,206620,161114,120957,105713,541230
108490,12950,13850,19027,20153,24271,13537,19583,3980516
108490,12950,13850,19027,20153,24271,13537,19583,3980516
032280,2855,2960,2215760,1106134,2033388,13710233,3580836,4757933
049180,5980,6220,108503,146594,101059,90732,68079,9051828
049180,5980,6220,108503,146594,101059,90732,68079,9051828
307750,12600,13200,6637178,3106198,2354507,1888794,1751227,4087545
066410,7080,7340,22865704,4791740,6272515,14379286,14214580,38084578
066410,7080,7340,22865704,4791740,6272515,14379286,14214580,38084578
307750,12600,13200,6637178,3106198,2354507,1888794,1751227,4087545
271980,31350,32700,32988,77214,33747,29788,24014,168110
033540,2390,2430,160312,55217,78207,183013,106653,318962
001510,1015,1015,3644871,2672963,3266513,4140264,3080603,14029892
001510,1015,1015,3644871,2672963,3266513,4140264,3080603,14029892
007770,15800,16300,29718,12270,24219,16944,29899,91543
271980,31350,32700,32988,77214,33747,29788,24014,168110
007770,15800,16300,29718,12270,24219,16944,29899,91543
033540,2390,2430,160312,55217,78207,183013,106653,318962
068290,33350,34000,72638,66789,29666,36288,45492,291223
054450,16200,16800,160098,123830,399733,156322,170283,3268038
067310,18100,19000,502848,376834,423843,358387,462721,1149097
068290,33350,34000,72638,66789,29666,36288,45492,291223
067310,18100,19000,502848,376834,423843,358387,462721,1149097
054450,16200,16800,160098,123830,399733,156322,170283,3268038
138690,4700,5120,202231,114282,232628,205536,129217,656633
012800,1775,1830,246786,366380,275426,272128,359471,8752467
138690,4700,5120,202231,114282,232628,205536,129217,656633
012800,1775,1830,246786,366380,275426,272128,359471,8752467
049630,1000,1045,444860,438642,260004,197486,279396,3183361
260930,11050,11300,69481,48620,300041,159196,346684,2489775
260930,11050,11300,69481,48620,300041,159196,346684,2489775
049630,1000,1045,444860,438642,260004,197486,279396,3183361
004250,7290,7400,4365010,1125579,744193,1485577,2511361,44461195
004250,7290,7400,4365010,1125579,744193,1485577,2511361,44461195
265560,16350,17200,944614,88567,118912,73716,98040,3433882
265560,16350,17200,944614,88567,118912,73716,98040,3433882
080220,6280,6460,1826662,7200992,1754307,2007281,2624885,11659005
062860,6070,6320,2914,37995,4921,159264,34327,415080
080220,6280,6460,1826662,7200992,1754307,2007281,2624885,11659005
062860,6070,6320,2914,37995,4921,159264,34327,415080
206560,29550,30400,1221854,975634,1740758,1483824,1400351,3066984
241790,16200,16900,208714,100315,85498,234142,117435,433338
206560,29550,30400,1221854,975634,1740758,1483824,1400351,3066984
241790,16200,16900,208714,100315,85498,234142,117435,433338
006380,4355,4540,356496,302341,422450,14208566,2660445,9176517
219130,17400,17850,24833,38163,18687,16772,93976,1878140
219130,17400,17850,24833,38163,18687,16772,93976,1878140
006380,4355,4540,356496,302341,422450,14208566,2660445,9176517
060720,24000,24550,503124,371104,314301,612632,521282,1025415
019770,6650,6940,317142,837548,488215,193927,219294,1733812
019770,6650,6940,317142,837548,488215,193927,219294,1733812
060720,24000,24550,503124,371104,314301,612632,521282,1025415
092600,4205,4380,71167,105081,53004,86791,201759,506860
077500,11100,11300,287444,249281,246340,170685,120679,299974
092600,4205,4380,71167,105081,53004,86791,201759,506860
102120,13950,14500,577682,357963,530173,288523,147121,862700
077500,11100,11300,287444,249281,246340,170685,120679,299974
102120,13950,14500,577682,357963,530173,288523,147121,862700
009810,2150,2215,1222497,1318141,1806755,1503760,4282077,8611395
033540,2365,2445,105778,182582,232753,2838713,1869364,1445378
009810,2150,2215,1222497,1318141,1806755,1503760,4282077,8611395
033540,2365,2445,105778,182582,232753,2838713,1869364,1445378
059270,8880,9130,331292,152541,1293754,7028962,925779,3297077
033830,1330,1355,7054687,9460252,1937881,1571796,4592873,17565425
033830,1330,1355,7054687,9460252,1937881,1571796,4592873,17565425
059270,8880,9130,331292,152541,1293754,7028962,925779,3297077
236810,13075,13750,424216,681656,267878,522836,1481680,22789484
236810,13075,13750,424216,681656,267878,522836,1481680,22789484
036540,7690,7830,2582351,1437392,1857068,2085726,1565290,3634508
093640,4550,4785,481011,309355,280804,256191,1488185,872442
145720,69800,75300,75153,86837,58963,51524,35230,363695
151910,6300,6300,370812,295369,324934,396196,1487905,1189992
151910,6300,6300,370812,295369,324934,396196,1487905,1189992
204630,1813,1921,0,0,0,0,0,11383689
