published_date,updated_date,commentor,comment,like
2022-06-19T05:06:44Z,2022-06-19T05:06:44Z,긍정^_^,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ크 공감된다,0
2022-06-19T05:06:43Z,2022-06-19T05:06:43Z,Joel,"예비군 가기 ㅈㄴ 실타 ㅅㅂ,,",1
2022-06-19T05:06:35Z,2022-06-19T05:06:35Z,Sally Chang,정말 멋져요!! 장병 분들 모두 고생 많으십니다! 꽃길만 걸으시길!,0
2022-06-19T05:06:35Z,2022-06-19T05:06:35Z,Jae Youl Lee,역시 본좌는 달라,0
2022-06-19T05:06:33Z,2022-06-19T05:06:33Z,니삐읍따,"생식주와 소말리아 해적 썰이 궁금하시다면 유튜브 ""미션파서블"" 채널로 놀러와주세요.😎🖤",0
2022-06-19T05:06:29Z,2022-06-19T05:06:29Z,유닛 부동산,ㅋㅋㅋㅋㅋ,0
2022-06-19T05:06:20Z,2022-06-19T05:06:20Z,간만띠,"H님이 정말 국가 안보뿐만 아니라 예비군에 대한 이야기도 다뤄주시고 이렇게 유머러스함과 더불어 좋은내용도 얘기해주셔서 좋네요 ㅎㅎ
올해부터 다시 예비군훈련 시작된다는데 모든 예비군분들 화이팅하시고 국가에서도 이런 예비군들의 처우계선에 더욱 신경 써주는 계기가 되길 바랍니다",2667
2022-07-02T03:19:05Z,2022-07-02T03:19:05Z,위튜브 WE TUBE  (소망을 이루어주는 채널),소원..이루어드릴까요?,0
2022-06-29T05:19:01Z,2022-06-29T05:19:01Z,도오돈돈돈돈,@i 혼자 드립치는 노잼충..ㅜㅜ,0
2022-06-28T21:55:16Z,2022-06-28T21:55:16Z,i,@도오돈돈돈돈 드립친건데 전에 닉H여서 이걸 진지충이;;,1
2022-06-28T18:49:50Z,2022-06-28T18:49:50Z,도오돈돈돈돈,"@i 예비군이요
 눈치상 알아 들을만 할텐데",0
2022-06-19T19:34:14Z,2022-06-19T19:34:14Z,김김,"당자 4시간 뒤 예비군 가는데 이거 보니 신기하네요.,,,",0
2022-06-19T05:06:19Z,2022-06-19T05:06:19Z,6460 9,너털드영상에 너털드가 찍은 광고영상이 나오네,0
2022-06-19T05:06:17Z,2022-06-19T05:06:17Z,summer peach,아스테이지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:06:02Z,2022-06-19T05:06:02Z,최현준,국수사 호송대대 나왔는데 거긴 운전 안합니다 ㅋㅋㅋ,0
2022-06-19T05:05:55Z,2022-06-19T05:05:55Z,S 0,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ H 님 보자마자 달려들어와서 좋아요누르고 보다갑니닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:05:55Z,2022-06-19T05:05:55Z,난다,얼굴보고 들어왔다 오아,0
2022-06-19T05:05:54Z,2022-06-19T05:05:54Z,학가,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:05:47Z,2022-06-19T05:05:47Z,푸른바다,크 udt 진짜 멋진거같음,1
2022-06-19T05:05:34Z,2022-06-19T05:05:34Z,윤정호,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:05:34Z,2022-06-19T05:05:34Z,리세일리,꽁트를 가져온줄 알았더니 브이로그를 가져오네,0
2022-06-19T05:05:31Z,2022-06-19T05:05:31Z,나는는나,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:05:24Z,2022-06-19T05:05:24Z,파리바게트,진짜 잘만들었다 굿굿,0
2022-06-19T05:05:23Z,2022-06-19T05:05:23Z,혀누,전역전 휴가 5일전.. 지난 16개월간의 군생활 의미를 다시 한번 생각해볼수있게 해주셔셔 감사합니다,1
2022-06-19T06:00:27Z,2022-06-19T06:00:27Z,성이름,군복무를 16개월밖에 안했다고?,0
2022-06-19T05:08:28Z,2022-06-19T05:08:28Z,보라,와 2달이나 줄었냐 부럽넹,0
2022-06-19T05:05:19Z,2022-06-19T05:05:19Z,주하은,H 사랑해~!!!!!!!,1
2022-06-19T05:05:11Z,2022-06-19T05:05:11Z,OREO,작년인가 흥했던 밀리터리 붐에서 가장 좋은 건 군인들의 대한 인식이 높아졌다는 것.. 너무 감사하다,52
2022-06-19T05:05:09Z,2022-06-19T05:05:09Z,G.I. qhrrkfl,soviet reserved army tatics 생각나네 공짜 징집병 막 나와서 갈아넣고 그랬는데 우리도 갈리것네~,0
2022-06-19T05:05:06Z,2022-06-19T05:05:06Z,이상인,항상 잘보고 있습니다.응원합니다.,0
2022-06-19T05:04:53Z,2022-06-19T05:04:53Z,hopekjh,"너덜트가 좋은 건~~ 쓸데없는 욕설들이 안 나와서 좋다는 거👍
지금 이 느낌 쭈욱 유지해주세요♡
늘 잘보고 있습니다^^",8
2022-06-19T05:04:50Z,2022-06-19T05:04:50Z,수진,형이 왜 여기서 나와? 🌸 🌸,0
2022-06-19T05:04:42Z,2022-06-19T05:04:42Z,빛나는오동,ㅋㅋ 완전 공감되네요. 전 의무병 출신인데도 무용담을 늘어놓습니다. 힘든부대 나오신 분들 존경스러워요.^^,1
2022-06-19T05:04:38Z,2022-06-19T05:04:38Z,Heal the world,역시 에이전트H형님 진짜 말빨 작살나네ㅋㅋ,0
2022-06-19T05:04:38Z,2022-06-19T05:04:38Z,shark왕배,와 에이전트 H맞죠? 대박 ㅋㅋㅋ,0
2022-06-19T05:04:34Z,2022-06-19T05:04:34Z,이미사용한기프티콘,소말리아 얘기 궁금해 제길...!,0
2022-06-19T05:04:32Z,2022-06-19T05:04:32Z,삶자유,"군부심 자가진단 테스트
1.일상에서 군복을 종종 입는다.
2.카톡 프로필에 밀리터리 사진을 자주 올린다.
3. 본인은 군대 얘기 잘 안한다고 한다.",1
2022-06-19T05:04:32Z,2022-06-19T05:04:32Z,private,군대가 좋아지는게 지극히 당연한거지 군대 좋아지는거 불편해하는 인간들은 폰도 못바꾸게 해야됨,2
2022-06-19T05:04:31Z,2022-06-19T05:04:31Z,Hai B,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 개터졌닼ㅋㅋㅋㅋㅋㅋ 너무 좋다고 진짜…ㅋㅋㅋㅋㅋ,0
2022-06-19T05:04:28Z,2022-06-19T05:04:28Z,wnghks whcho,ㅋㅋㅋ..,1
2022-06-19T05:04:24Z,2022-06-19T05:04:24Z,태야,와...H님 연기 잘하시넹 혹시 연기가 아닌건가? ㅋㅋ,0
2022-06-19T05:04:22Z,2022-06-19T05:04:22Z,팽사르기,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ돌것넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:04:19Z,2022-06-19T05:04:19Z,박성진,뭐야 h님 왜 이렇게 잘 하는데요ㅋㅋㅋ,0
