published_date,updated_date,commentor,comment,like
2021-11-12T06:58:48Z,2021-11-12T06:58:48Z,Frank Song,그래요 방송에서 10할보다는 백퍼가 어감이 낫지요...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2021-11-10T01:16:49Z,2021-11-10T01:16:49Z,neverenoughlife,보고싶엇소~글씨 진짜 너무 예뻤는데~~~♡,0
2021-11-09T18:01:58Z,2021-11-09T18:01:58Z,김우재,너무 당연한 얘기지만 진짜 글씨 잘쓰신다..... 그냥 슥슥 쓰시는데 개이쁨ㅠ,2
2021-11-06T16:39:46Z,2021-11-06T16:39:46Z,jimmy cho,이쁘다!...와이프 어렸을때 같아서...죄송합니다!ㅋ,0
2021-11-04T04:50:54Z,2021-11-04T04:50:54Z,태희 김,6:46 BGM의 중요성 강의 시작,1
2021-11-03T15:54:35Z,2021-11-03T15:54:35Z,뮤뮤,6:26 육아난이도 최상,4
2021-10-18T16:37:13Z,2021-10-18T16:37:13Z,Kyung A Woo,날리낫네 서예는 액자해 놓으셔야^^,0
2021-10-06T08:11:33Z,2021-10-06T08:11:33Z,이종렬,"대학에서전공하고 쭉 가다보면 서예가 어처구니없는 답변이네 
서예가 딸로 태어나면  서예가란 ?",0
2021-09-25T23:49:06Z,2021-09-25T23:49:06Z,자리를 찾습니다일,귀여워,0
2021-09-23T04:40:08Z,2021-09-23T04:40:08Z,혼코노믹스,"썸네일만 보고 인생 2회차 어린자기님 특집인가?!하고 무심히 들어왔네..
동안이시네",1
2021-09-22T14:49:50Z,2021-09-22T14:49:50Z,딤보,ㅋㅋㅋ 저도 산만해서 서예학원 갔는데 (초등학교 입학식날 학교 앞 서예학원 ^^),0
2021-09-22T11:08:44Z,2021-09-22T11:08:44Z,우주쭈꾸미괴물,사람 자체가 귀여움ㅋㅋㅋㅋㅋ,1
2021-09-22T00:52:06Z,2021-09-22T00:52:06Z,STV,예술이다. 😮,0
2021-09-21T11:23:07Z,2021-09-21T11:23:07Z,태정태세문단속잘해라,8:10 와...,1
2021-09-20T15:04:20Z,2021-09-20T15:04:20Z,조국수호💙북남통일💙이재명지지,서예가 와꾸 ㅅㅌㅊ네,0
2021-09-19T18:56:08Z,2021-09-19T18:56:08Z,길별X길벗,저도 이제 서예 하고 있는데 부러워요 ㅋㅋ,0
